period,series_reference,region_name,filled_jobs
2022.03,BDCQ.SED1RK,Nelson,19747
2022.03,BDCQ.SED1RL,Marlborough,25368
2022.03,BDCQ.SED1RM,West Coast,14056
2022.03,BDCQ.SED1RN,Canterbury,286920
2022.03,BDCQ.SED1RO,Otago,106680
2022.03,BDCQ.SED1RP,Southland,46787
2022.06,BDCQ.SED1RA,Northland,70390
2022.06,BDCQ.SED1RB,Auckland,738297
2022.06,BDCQ.SED1RC,Waikato,211521
2022.06,BDCQ.SED1RD,Bay of Plenty,138518
2022.06,BDCQ.SED1RE,Gisborne,21828
2022.06,BDCQ.SED1RF,Hawke's Bay,78682
2022.06,BDCQ.SED1RG,Taranaki,51872
2022.06,BDCQ.SED1RH,Manawatu-Whanganui,106806
2022.06,BDCQ.SED1RI,Wellington,246674
2022.06,BDCQ.SED1RJ,Tasman,23906
2022.06,BDCQ.SED1RK,Nelson,19803
2022.06,BDCQ.SED1RL,Marlborough,25264
2022.06,BDCQ.SED1RM,West Coast,14045
2022.06,BDCQ.SED1RN,Canterbury,288387
2022.06,BDCQ.SED1RO,Otago,106111
2022.06,BDCQ.SED1RP,Southland,45514
2022.09,BDCQ.SED1RA,Northland,70417
2022.09,BDCQ.SED1RB,Auckland,741564
2022.09,BDCQ.SED1RC,Waikato,212557
2022.09,BDCQ.SED1RD,Bay of Plenty,136246
2022.09,BDCQ.SED1RE,Gisborne,21695
2022.09,BDCQ.SED1RF,Hawke's Bay,76353
2022.09,BDCQ.SED1RG,Taranaki,52067
2022.09,BDCQ.SED1RH,Manawatu-Whanganui,107216
2022.09,BDCQ.SED1RI,Wellington,246959
2022.09,BDCQ.SED1RJ,Tasman,23446
2022.09,BDCQ.SED1RK,Nelson,19682
2022.09,BDCQ.SED1RL,Marlborough,25156
2022.09,BDCQ.SED1RM,West Coast,13933
2022.09,BDCQ.SED1RN,Canterbury,290386
2022.09,BDCQ.SED1RO,Otago,106694
2022.09,BDCQ.SED1RP,Southland,45131
2022.12,BDCQ.SED1RA,Northland,72276
2022.12,BDCQ.SED1RB,Auckland,756716
2022.12,BDCQ.SED1RC,Waikato,217715
2022.12,BDCQ.SED1RD,Bay of Plenty,138254
2022.12,BDCQ.SED1RE,Gisborne,21829
2022.12,BDCQ.SED1RF,Hawke's Bay,77356
2022.12,BDCQ.SED1RG,Taranaki,52895
2022.12,BDCQ.SED1RH,Manawatu-Whanganui,108850
2022.12,BDCQ.SED1RI,Wellington,250305
2022.12,BDCQ.SED1RJ,Tasman,24126
2022.12,BDCQ.SED1RK,Nelson,20192
2022.12,BDCQ.SED1RL,Marlborough,25707
2022.12,BDCQ.SED1RM,West Coast,14315
2022.12,BDCQ.SED1RN,Canterbury,296998
2022.12,BDCQ.SED1RO,Otago,109243
2022.12,BDCQ.SED1RP,Southland,46964
